timestamp,position_x,position_y,reference_x,reference_y,velocity,acceleration,jerk,contour_error,kcm_intervention
0.34600000000000003,10.008384305461801,1.584823893136663,10.0,1.584823893136663,49.06,1020.0,-20000.0,0.008384305461801134,1.8478897587125518
0.34700000000000003,10.008643123785204,1.6348832240658262,10.0,1.6348832240658262,50.06,1000.0,-20000.0,0.0086431237852036,0.6777394516612288
0.34800000000000003,10.008906602722298,1.6859625445277284,10.0,1.6859625445277284,51.080000000000005,1020.0,20000.0,0.008906602722298373,0.6682493109783311
0.34900000000000003,10.009174872835935,1.7380818541082106,10.0,1.7380818541082106,52.120000000000005,1040.0,20000.0,0.009174872835934877,0.6596000153523415
0.35000000000000003,10.009448067148936,1.7912611523817619,10.0,1.7912611523817619,53.18000000000001,1060.0,20000.0,0.00944806714893609,0.65059156478326
0.35100000000000003,10.009726116137585,1.8454804394368303,10.0,1.8454804394368303,54.220000000000006,1040.0,-20000.0,0.00972611613758545,0.7260239592710868
0.352,10.01000904818609,1.9007597153859228,10.0,1.9007597153859228,55.28000000000001,1060.0,20000.0,0.010009048186089942,0.7594962093804227
0.353,10.010296887898695,1.9571189803589497,10.0,1.9571189803589497,56.36000000000001,1080.0,20000.0,0.010296887898695317,0.9096242831779515
0.354,10.010589567011666,2.0145382344374974,10.0,2.0145382344374974,57.42000000000001,1060.0,-20000.0,0.01058956701166558,0.7629577625069341
0.355,10.010887224567758,2.073037477167462,10.0,2.073037477167462,58.50000000000001,1080.0,20000.0,0.01088722456775848,0.5474601975068457
0.356,10.011189883111237,2.132636708687726,10.0,2.132636708687726,59.60000000000001,1100.0,20000.0,0.011189883111237364,0.7441485613851421
0.357,10.011497479958306,2.1933159290533477,10.0,2.1933159290533477,60.68000000000001,1080.0,-20000.0,0.0114974799583063,0.8000141009135061
0.358,10.011810035093253,2.255095138414488,10.0,2.255095138414488,61.78000000000001,1100.0,20000.0,0.01181003509325329,1.9322746086925933
0.359,10.01212748839225,2.3179543368137914,10.0,2.3179543368137914,62.86000000000001,1080.0,-20000.0,0.012127488392250642,0.61116355914881
0.36,10.012449655673054,2.381873524920675,10.0,2.381873524920675,63.92000000000001,1060.0,-20000.0,0.012449655673053783,0.31942430931654237
0.361,10.012776681338359,2.4468727022555785,10.0,2.4468727022555785,65.00000000000001,1080.0,20000.0,0.012776681338358742,0.506905497662129
0.362,10.013108712490835,2.512971868326822,10.0,2.512971868326822,66.10000000000001,1100.0,20000.0,0.013108712490835117,0.5395352282957311
0.363,10.013445698406555,2.58015102313315,10.0,2.58015102313315,67.18,1080.0,-20000.0,0.01344569840655474,0.22352765724246676
0.364,10.013787592021545,2.648390166656175,10.0,2.648390166656175,68.24000000000001,1060.0,-20000.0,0.013787592021545336,0.885004242555925
0.365,10.014134550018376,2.7177092983598286,10.0,2.7177092983598286,69.32000000000001,1080.0,20000.0,0.014134550018376046,0.5102000172713839
0.366,10.014486732019583,2.788128417694268,10.0,2.788128417694268,70.42,1100.0,20000.0,0.014486732019582504,0.21242602016905618
0.367,10.014844300707665,2.8596675240951264,10.0,2.8596675240951264,71.54,1120.0,20000.0,0.01484430070766507,0.4891141018730263
0.368,10.015207222098509,2.9323066174819803,10.0,2.9323066174819803,72.64,1100.0,-20000.0,0.015207222098508666,0.9312324117592097
0.369,10.015575465627956,3.006025697757734,10.0,3.006025697757734,73.72,1080.0,-20000.0,0.015575465627955865,0.9421915667023011
0.37,10.015949203838389,3.080844764309984,10.0,3.080844764309984,74.82,1100.0,20000.0,0.015949203838388826,0.3725116718735044
