timestamp,position_x,position_y,reference_x,reference_y,velocity,acceleration,jerk,omega,domega,jerk_proxy,contour_error,kcm_intervention,corner_mask,dist_to_corner,mode,mode_proxy
0.081,1.9056751562489371,-0.003938083395372529,1.9056751562489371,0.0,68.06,1640.0,20000.0,-3.4030000000000005,-82.0,-1000.0,0.003938083395372529,0.7672091688857885,0.0,8.162384449670125,normal,0.0
0.082,1.9753947326238135,-0.004181126823119943,1.9753947326238135,0.0,69.72,1660.0,20000.0,-3.4860000000000007,-83.0,-1000.0,0.004181126823119943,0.7373928117028808,0.0,8.094324843751062,normal,0.0
0.083,2.0467942776313666,-0.004436024281678691,2.0467942776313666,0.0,71.4,1680.0,20000.0,-3.5700000000000007,-84.0,-1000.0,0.004436024281678691,0.7072081800662303,0.0,8.024605267376186,normal,0.0
0.084,2.1198937893595464,-0.004703204186800605,2.1198937893595464,0.0,73.10000000000001,1700.0,20000.0,-3.6550000000000007,-85.0,-1000.0,0.004703204186800605,0.6766550951619031,0.0,7.953205722368633,normal,0.0
0.085,2.194713265804177,-0.004983105153926771,2.194713265804177,0.0,74.82000000000001,1720.0,20000.0,-3.7410000000000005,-86.0,-1000.0,0.004983105153926771,0.6480105736296085,0.0,7.880106210640454,normal,0.0
0.08600000000000001,2.2712727048656665,-0.005276176118168878,2.2712727048656665,0.0,76.56,1740.0,20000.0,-3.8280000000000007,-87.0,-1000.0,0.005276176118168878,0.616721297445665,0.0,7.805286734195823,normal,0.0
0.08700000000000001,2.349592104345641,-0.005582876454289656,2.349592104345641,0.0,78.32000000000001,1760.0,20000.0,-3.916000000000001,-88.0,-1000.0,0.005582876454289656,0.5850653561333876,0.0,7.728727295134334,normal,0.0
0.088,2.429691461943498,-0.005903676096682322,2.429691461943498,0.0,80.10000000000001,1780.0,20000.0,-4.005000000000001,-89.0,-1000.0,0.005903676096682322,0.5507341425913365,0.0,7.650407895654359,normal,0.0
0.089,2.511590775252884,-0.006239055659349107,2.511590775252884,0.0,81.9,1800.0,20000.0,-4.095000000000001,-90.0,-1000.0,0.006239055659349107,0.518316201188255,0.0,7.570308538056501,normal,0.0
0.09,2.5953100417580868,-0.006589506555878751,2.5953100417580868,0.0,83.72,1820.0,20000.0,-4.186000000000001,-91.0,-1000.0,0.006589506555878751,0.4855089448918255,0.0,7.488409224747116,normal,0.0
0.091,2.6808692588303513,-0.006955531119423101,2.6808692588303513,0.0,85.56,1840.0,20000.0,-4.2780000000000005,-92.0,-1000.0,0.006955531119423101,0.44100692230892025,0.0,7.404689958241914,normal,0.0
0.092,2.7682884237241128,-0.007337642722672528,2.7682884237241128,0.0,87.42,1860.0,20000.0,-4.371,-93.0,-1000.0,0.007337642722672528,0.40736590192937694,0.0,7.319130741169649,normal,0.0
0.093,2.8575875335731453,-0.007736365897830305,2.8575875335731453,0.0,89.3,1880.0,20000.0,-4.465000000000001,-94.0,-1000.0,0.007736365897830305,0.38478305591811257,0.0,7.231711576275887,normal,0.0
0.094,2.948786585386628,-0.008152236456585811,2.948786585386628,0.0,91.2,1900.0,20000.0,-4.5600000000000005,-95.0,-1000.0,0.008152236456585811,0.3504351101395375,0.0,7.142412466426855,normal,0.0
0.095,3.0419055760451275,-0.00858580161008669,3.0419055760451275,0.0,93.12,1920.0,20000.0,-4.656000000000001,-96.0,-1000.0,0.00858580161008669,0.3157081610711603,0.0,7.051213414613372,normal,0.0
0.096,3.136964502296491,-0.009037620088909654,3.136964502296491,0.0,95.06,1940.0,20000.0,-4.753000000000001,-97.0,-1000.0,0.009037620088909654,0.28060030136434827,0.0,6.958094423954872,normal,0.0
0.097,3.233983360751659,-0.009508262263030207,3.233983360751659,0.0,97.02,1960.0,20000.0,-4.851000000000001,-98.0,-1000.0,0.009508262263030207,0.2451093256472447,0.0,6.863035497703509,normal,0.0
0.098,3.3329421483704347,-0.009998112262599553,3.3329421483704347,0.0,98.96,1940.0,-20000.0,-4.950000000000001,-99.0,-1000.0,0.009998112262599553,0.21422371315263733,0.0,6.766016639248341,normal,0.0
0.099,3.432940873248145,-0.010503110116141896,3.432940873248145,0.0,100.0,1920.0,-20000.0,-5.050000000000001,-100.0,-1000.0,0.010503110116141896,0.19699060133169866,0.0,6.667057851629565,normal,0.0
0.1,3.532939547126076,-0.01101810783963033,3.532939547126076,0.0,100.0,1900.0,-20000.0,-5.15,-100.0,0.0,0.01101810783963033,0.18115301029323067,0.0,6.567059126751856,normal,0.0
0.101,3.632938169004241,-0.011543105427914924,3.632938169004241,0.0,100.0,1880.0,-20000.0,-5.25,-100.0,0.0,0.011543105427914924,0.16672131401107979,0.0,6.467060452873924,normal,0.0
