step,time,x,y,v,a,j,contour_error,progress,v_over_vmax,abs_j_over_jmax,active_accdec_window,s_smoothed,v_cap
177,0.177,22.627793749999995,0.0,18.0,0.0,0.0,0.0,0.006569484375000141,0.18,0.0,False,2.627793749999994,18.0
178,0.178,22.645793749999996,0.0,18.0,0.0,0.0,0.0,0.006614484375000143,0.18,0.0,False,2.645793749999994,18.0
179,0.179,22.663793749999993,0.0,18.0,0.0,0.0,0.0,0.006659484375000137,0.18,0.0,False,2.6637937499999937,18.0
180,0.18,22.681793749999994,0.0,18.0,0.0,0.0,0.0,0.0067044843750001405,0.18,0.0,False,2.6817937499999935,18.0
181,0.181,22.699793749999994,0.0,18.0,0.0,0.0,0.0,0.006749484375000143,0.18,0.0,False,2.6997937499999933,18.0
182,0.182,22.717793749999995,0.0,18.0,0.0,0.0,0.0,0.0067944843750001455,0.18,0.0,False,2.717793749999993,18.0
183,0.183,22.735793749999992,0.0,18.0,0.0,0.0,0.0,0.006839484375000139,0.18,0.0,False,2.735793749999993,18.0
184,0.184,22.753793749999993,0.0,18.0,0.0,0.0,0.0,0.006884484375000143,0.18,0.0,False,2.7537937499999927,18.0
185,0.185,22.771793749999993,0.0,18.0,0.0,0.0,0.0,0.006929484375000145,0.18,0.0,False,2.7717937499999925,18.0
186,0.186,22.789793749999994,0.0,18.0,0.0,0.0,0.0,0.006974484375000148,0.18,0.0,False,2.7897937499999923,18.0
187,0.187,22.80779374999999,0.0,18.0,0.0,0.0,0.0,0.0070194843750001415,0.18,0.0,False,2.807793749999992,18.0
188,0.188,22.825793749999992,0.0,18.0,0.0,0.0,0.0,0.007064484375000144,0.18,0.0,False,2.825793749999992,18.0
189,0.189,22.843793749999993,0.0,18.0,0.0,0.0,0.0,0.007109484375000147,0.18,0.0,False,2.8437937499999917,18.0
190,0.19,22.86179374999999,0.0,18.0,0.0,0.0,0.0,0.007154484375000141,0.18,0.0,False,2.8617937499999915,18.0
191,0.191,22.87979374999999,0.0,18.0,0.0,0.0,0.0,0.007199484375000144,0.18,0.0,False,2.8797937499999913,18.0
192,0.192,22.89779374999999,0.0,18.0,0.0,0.0,0.0,0.007244484375000146,0.18,0.0,False,2.897793749999991,18.0
193,0.193,22.91579374999999,0.0,18.0,0.0,0.0,0.0,0.00728948437500015,0.18,0.0,False,2.915793749999991,18.0
194,0.194,22.933793749999992,0.0,18.0,0.0,0.0,0.0,0.007334484375000152,0.18,0.0,False,2.9337937499999907,18.0
195,0.195,22.95179374999999,0.0,18.0,0.0,0.0,0.0,0.007379484375000146,0.18,0.0,False,2.9517937499999904,18.0
196,0.196,22.96979374999999,0.0,18.0,0.0,0.0,0.0,0.007424484375000148,0.18,0.0,False,2.9697937499999902,18.0
197,0.197,22.98779374999999,0.0,18.0,0.0,0.0,0.0,0.007469484375000152,0.18,0.0,False,2.98779374999999,18.0
198,0.198,23.005793749999988,0.0,18.0,0.0,0.0,0.0,0.007514484375000146,0.18,0.0,False,3.00579374999999,18.0
199,0.199,23.02379374999999,0.0,18.0,0.0,0.0,0.0,0.007559484375000148,0.18,0.0,False,3.0237937499999896,18.0
200,0.2,23.04179374999999,0.0,18.0,0.0,0.0,0.0,0.007604484375000151,0.18,0.0,False,3.0417937499999894,18.0
201,0.201,23.05979374999999,0.0,18.0,0.0,0.0,0.0,0.007649484375000153,0.18,0.0,False,3.059793749999989,18.0
202,0.202,23.077793749999987,0.0,18.0,0.0,0.0,0.0,0.007694484375000148,0.18,0.0,False,3.077793749999989,18.0
203,0.203,23.095793749999988,0.0,18.0,0.0,0.0,0.0,0.00773948437500015,0.18,0.0,False,3.095793749999989,18.0
204,0.20400000000000001,23.11379374999999,0.0,18.0,0.0,0.0,0.0,0.007784484375000153,0.18,0.0,False,3.1137937499999886,18.0
205,0.20500000000000002,23.13179374999999,0.0,18.0,0.0,0.0,0.0,0.007829484375000155,0.18,0.0,False,3.1317937499999884,18.0
206,0.20600000000000002,23.149793749999986,0.0,18.0,0.0,0.0,0.0,0.00787448437500015,0.18,0.0,False,3.149793749999988,18.0
