step,x,y,velocity
328,18.3420360112,-0.0461957048,33.1204461753
329,18.3749564365,-0.0461586181,32.9204461753
330,18.4076568538,-0.0462020635,32.7004461753
331,18.4401171243,-0.0463088627,32.4604461753
332,18.4723575703,-0.0463111890,32.2404461753
333,18.5043979162,-0.0462310008,32.0404461753
334,18.5362183616,-0.0462381040,31.8204461753
335,18.5677987165,-0.0463140119,31.5804461753
336,18.5991588935,-0.0464439514,31.3604461753
337,18.6303188636,-0.0466161883,31.1604461753
338,18.6612586310,-0.0468211448,30.9404461753
339,18.6919989687,-0.0469027826,30.7404461753
340,18.7225591311,-0.0470344804,30.5604461753
341,18.7529195684,-0.0470578232,30.3604461753
342,18.7830600106,-0.0470423538,30.1404461753
343,18.8129602771,-0.0469386953,29.9004461753
344,18.8426402845,-0.0467773253,29.6804461753
345,18.8720788491,-0.0464444787,29.4404461753
346,18.9012545855,-0.0459202210,29.1804461753
347,18.9301458079,-0.0451901145,28.9004461753
348,18.9587789461,-0.0445431567,28.6404461753
349,18.9871639994,-0.0436082273,28.4004461753
350,19.0153181768,-0.0423917391,28.1804461753
351,19.0432400487,-0.0413731116,27.9404461753
352,19.0709472403,-0.0405159836,27.7204461753
353,19.0984597053,-0.0398532429,27.5204461753
354,19.1257942533,-0.0392853676,27.3404461753
355,19.1529487834,-0.0380987127,27.1804461753
356,19.1798938327,-0.0363700107,27.0004461753
357,19.2066032578,-0.0341630827,26.8004461753
358,19.2331648118,-0.0323933365,26.6204461753
359,19.2595216490,-0.0300540321,26.4604461753
360,19.2857762954,-0.0281940783,26.3204461753
361,19.3118988357,-0.0267863031,26.1604461753
362,19.3378558855,-0.0256839638,25.9804461753
363,19.3636621506,-0.0248283232,25.8204461753
364,19.3892949446,-0.0242019424,25.6404461753
365,19.4147710340,-0.0237307679,25.4804461753
366,19.4400173652,-0.0220768830,25.3004461753
367,19.4649791123,-0.0194418152,25.1004461753
368,19.4896587464,-0.0159857630,24.9204461753
369,19.5142327284,-0.0132987816,24.7204461753
370,19.5386483678,-0.0112620154,24.5004461753
371,19.5628999748,-0.0097221313,24.3004461753
372,19.5868625693,-0.0069671384,24.1204461753
373,19.6104869583,-0.0032153403,23.9204461753
374,19.6337819794,0.0013618618,23.7404461753
375,19.6567276759,0.0066199619,23.5404461753
376,19.6793102122,0.0124399501,23.3204461753
377,19.7019936385,0.0169140090,23.1204461753
378,19.7246832587,0.0202970855,22.9404461753
379,19.7470251848,0.0247453510,22.7804461753
380,19.7689917556,0.0300604179,22.6004461753
381,19.7906067885,0.0360906731,22.4404461753
382,19.8123825025,0.0407108185,22.2604461753
383,19.8341764804,0.0441292699,22.0604461753
384,19.8555637914,0.0487484533,21.8804461753
385,19.8766839189,0.0536455913,21.6804461753
386,19.8973405043,0.0594642019,21.4604461753
387,19.9175623794,0.0660279157,21.2604461753
388,19.9380231124,0.0709328909,21.0404461753
389,19.9580156369,0.0768170356,20.8404461753
390,19.9782160159,0.0811527852,20.6604461753
391,19.9983204062,0.0851629954,20.5004461753
392,20.0183509879,0.0885829850,20.3204461753
393,20.0383763908,0.0909125405,20.1604461753
394,20.0579940429,0.0949082872,20.0204461753
395,20.0771292191,0.1002264028,19.8604461753
